symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2026-04-01T00:00:00Z,470463,474572,475166,467182,461487,13085,2.84,11707186,5770270306,1.10,1.26,0.00,0,6535887,5171299,723140736000,534068112000,511547808,1307320544,803547520,503773024,1388767104,1380992320,7774784,1427006592,1686828784,-259822192,1465892128,1717617744,-251725616,8.87,8.73,0.13,-4.50,-4.36,0,14,13,1,0,0,0,128.20,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.320329+08:00
BK0421,2026-04-01T00:00:00Z,897881,890915,899814,887204,892188,-1273,-0.14,6860739,3807635580,0.53,0.78,0.00,0,3017527,3843211,837691328000,763987728000,-105936688,286556240,428554176,-141997936,814090448,778029200,36061248,1186367280,1028598064,157769216,1436191920,1488024448,-51832528,-2.78,-3.73,0.95,4.14,-1.36,0,36,14,19,3,0,0,16.30,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.623912+08:00
BK0422,2026-04-01T00:00:00Z,790019,785980,791684,781736,780783,5197,0.67,5821264,5922973541,1.10,0.96,0.00,0,2859091,2962173,711427152000,602496048000,96620656,531518544,424608912,106909632,1197272128,1207561104,-10288976,1801253968,1912466688,-111212720,2264439856,2245030224,19409632,1.63,1.81,-0.17,-1.88,0.33,0,47,35,9,3,0,0,17.72,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.949775+08:00
BK0424,2026-04-01T00:00:00Z,3074491,3042060,3085088,3020794,3019634,22426,0.74,3787393,3098615975,1.04,0.87,0.00,0,1796157,1991236,338229904000,285959504000,145812946,279318768,200280462,79038306,615536608,548761968,66774640,922898640,932964752,-10066112,1212733152,1348480000,-135746848,4.71,2.55,2.15,-0.32,-4.38,0,23,19,4,0,0,0,75.85,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.90159+08:00
BK0425,2026-04-01T00:00:00Z,2895278,2856622,2909856,2842366,2834961,21661,0.76,40427055,26036938029,1.76,0.98,0.00,0,18090431,22336624,1523465504000,1339791840000,852907456,4161273728,3488022720,673251008,6115254784,5935598336,179656448,7423068416,7801201664,-378133248,7560281600,8035373056,-475091456,3.28,2.59,0.69,-1.45,-1.82,0,67,44,20,3,0,0,10.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.887234+08:00
BK0427,2026-04-01T00:00:00Z,1023392,1008951,1024597,1003502,1017106,-8155,-0.80,111827495,76808433824,2.50,0.66,0.00,0,50431235,61396260,4298871808000,3599760992000,-3324898560,8433859584,9784721152,-1350861568,16510001408,18484038400,-1974036992,23858742784,23803435776,55307008,25724651008,22465390848,3259260160,-4.33,-1.76,-2.57,0.07,4.24,0,143,61,80,2,0,0,21.31,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.677964+08:00
BK0428,2026-04-01T00:00:00Z,2108776,2073096,2111678,2060006,2094260,-21164,-1.01,105964390,70839861271,2.52,0.66,0.00,0,47778427,58185963,3988866288000,3307637600000,-2975373056,7994516992,9251538432,-1257021440,15301591808,17019943424,-1718351616,21970421760,21867046144,103375616,23547897600,20675900160,2871997440,-4.20,-1.77,-2.43,0.15,4.05,0,111,45,64,2,0,0,21.07,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.168125+08:00
BK0429,2026-04-01T00:00:00Z,1184915,1159761,1184915,1152754,1175886,-16125,-1.37,18055242,15657367517,3.24,2.32,0.00,0,7977950,10077291,685839616000,569333472000,-953322032,1348433840,2037455792,-689021952,3272540752,3536840832,-264300080,5215831552,4839996416,375835136,5126484992,4615820800,510664192,-6.09,-4.40,-1.69,2.40,3.26,0,51,15,35,1,0,0,19.55,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.383484+08:00
BK0433,2026-04-01T00:00:00Z,1554516,1550322,1555361,1534008,1539666,10656,0.69,21518010,21638909611,2.20,0.88,0.00,0,10309841,11208168,1362256800000,1053489136000,-835792688,1662718160,2355996416,-693278256,4604165376,4746679808,-142514432,6688090880,6759312896,-71222016,7847657728,6958816512,888841216,-3.86,-3.20,-0.66,-0.33,4.11,0,115,78,32,5,0,0,31.72,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.144039+08:00
BK0436,2026-04-01T00:00:00Z,1434502,1434620,1437334,1424333,1414619,20001,1.41,12907601,10703538270,1.80,0.97,0.00,0,5810224,7097377,690126672000,623615904000,261084128,915250576,566017536,349233040,2087912880,2176061792,-88148912,3145616304,3386959744,-241343440,4305429248,4324870656,-19441408,2.44,3.26,-0.82,-2.25,-0.18,0,111,91,15,5,0,0,35.76,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.315022+08:00
