symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0420,2026-08-03T00:00:00Z,423472,425456,425747,422969,422282,3174,0.75,7470690,3202653956,0.70,0.91,0.00,0,3922031,3548659,591897808000,484635728000,-43534288,302818032,451785200,-148967168,806447152,701014272,105432880,905884112,897751936,8132176,1124718496,1089316384,35402112,-1.36,-4.65,3.29,0.25,1.11,0,14,11,3,0,0,0,30.95,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0421,2026-08-03T00:00:00Z,838607,852332,852745,838607,839954,12378,1.47,8379407,4729753166,0.65,1.09,0.00,0,4896512,3482895,809937616000,756228624000,-12025392,395609808,386882016,8727792,911637088,932390272,-20753184,1342609040,1491856160,-149247120,2013409568,1852137072,161272496,-0.25,0.18,-0.44,-3.16,3.41,0,36,30,5,1,0,0,17.15,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0422,2026-08-03T00:00:00Z,670119,684987,684987,669839,671313,13674,2.04,5946905,4947474227,1.12,1.06,0.00,0,3412765,2534140,656105968000,553886896000,-83933148,220302813,231947113,-11644300,829087216,901376064,-72288848,1528575136,1590432560,-61857424,2294133120,2149964304,144168816,-1.70,-0.24,-1.46,-1.25,2.91,0,47,42,5,0,0,0,27.81,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0424,2026-08-03T00:00:00Z,2456851,2498827,2500093,2455109,2455837,42990,1.75,3663560,3040840078,1.01,1.03,0.00,0,1961073,1702487,274557248000,231239822000,-61343641,127469535,133890552,-6421017,530787280,585709904,-54922624,946072848,964225488,-18152640,1389316816,1309820560,79496256,-2.02,-0.21,-1.81,-0.60,2.61,0,23,20,3,0,0,0,111.23,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0425,2026-08-03T00:00:00Z,2400370,2430843,2431061,2400370,2395405,35438,1.48,27342761,19992343393,1.18,1.10,0.00,0,15190316,12152445,1339451360000,1186979696000,-1186311504,2574518672,3807946704,-1233428032,3970418688,3923302160,47116528,5661628672,5595155200,66473472,7258236160,6141804800,1116431360,-5.93,-6.17,0.24,0.33,5.58,0,68,51,16,1,0,0,10.32,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0427,2026-08-03T00:00:00Z,933781,953139,953195,933612,931685,21454,2.30,69595123,48776248501,1.52,0.90,0.00,0,38165309,31429814,4348178688000,3585518464000,1463706176,5704904448,4124560320,1580344128,10012555776,10129193728,-116637952,14782454784,15883881472,-1101426688,17259313920,17628799744,-369485824,3.00,3.24,-0.24,-2.26,-0.76,0,143,128,14,1,0,0,20.84,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0428,2026-08-03T00:00:00Z,1930255,1969179,1971066,1928255,1925165,44014,2.29,65506236,45512136236,1.52,0.91,0.00,0,35869803,29636434,4086095808000,3334774240000,1460338576,5483909120,3965782640,1518126480,9460461056,9518248960,-57787904,13881139200,14851475712,-970336512,15793979136,16283981312,-490002176,3.21,3.34,-0.13,-2.13,-1.08,0,112,99,12,1,0,0,20.78,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0429,2026-08-03T00:00:00Z,978375,996534,997103,975528,970184,26350,2.72,5891840,6863531805,1.05,1.02,0.00,0,3142676,2749164,635117248000,531300320000,-23290000,455816704,467051488,-11234784,1434022752,1446077968,-12055216,2220981232,2222085792,-1104560,2621643168,2601233808,20409360,-0.34,-0.16,-0.18,-0.02,0.30,0,51,45,6,0,0,0,18.95,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0433,2026-08-03T00:00:00Z,1319568,1339205,1340360,1319100,1318873,20332,1.54,19470322,16167992839,1.99,1.19,0.00,0,10755534,8714788,1195626672000,898129216000,76873168,1161211296,1236970160,-75758864,3445363696,3292731664,152632032,4995711744,5228058880,-232347136,6189087232,6054158848,134928384,0.48,-0.47,0.94,-1.44,0.83,0,114,89,24,1,0,0,80.53,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
BK0436,2026-08-03T00:00:00Z,1276120,1292417,1292417,1271624,1275763,16654,1.31,14009070,11557172866,1.95,0.97,0.00,0,7346150,6662920,602937904000,557371168000,-41174896,540343248,512314576,28028672,1996434528,2065638096,-69203568,3579246144,3721666944,-142420800,5206193664,5031187200,175006464,-0.36,0.24,-0.60,-1.23,1.51,0,112,78,32,2,0,0,26.67,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-03T17:50:26+08:00
